user_id,age,gender,occupation,zipcode,registration_date,customer_segment
1,24,M,technician,85711,2026-05-14,Silver
2,53,F,other,94043,2025-11-15,Gold
3,23,M,writer,32067,2024-08-15,Silver
4,24,M,technician,43537,2023-05-31,Gold
5,33,F,other,15213,2024-07-19,Premium
6,42,M,executive,98101,2022-01-05,Gold
7,57,M,administrator,91344,2022-02-14,Silver
8,36,M,administrator,05201,2025-11-17,Gold
9,29,M,student,01002,2023-08-28,Silver
10,53,M,lawyer,90703,2023-08-19,Silver
11,39,F,other,30329,2023-11-22,Standard
12,28,F,other,06405,2024-01-24,Standard
13,47,M,educator,29206,2022-02-03,Premium
14,45,M,scientist,55106,2021-10-06,Silver
15,49,F,educator,97301,2023-05-04,Premium
16,21,M,entertainment,10309,2023-03-25,Premium
17,30,M,programmer,06355,2024-11-07,Standard
18,35,F,other,37212,2023-04-27,Standard
19,40,M,librarian,02138,2023-01-28,Silver
20,42,F,homemaker,95660,2024-03-07,Premium
21,26,M,writer,30068,2026-02-05,Gold
22,25,M,writer,40206,2024-11-16,Premium
23,30,F,artist,48197,2026-01-18,Standard
24,21,F,artist,94533,2023-10-05,Gold
25,39,M,engineer,55107,2025-12-20,Gold
26,49,M,engineer,21044,2025-02-17,Premium
27,40,F,librarian,30030,2021-11-24,Premium
28,32,M,writer,55369,2024-07-24,Gold
29,41,M,programmer,94043,2022-01-25,Standard
30,7,M,student,55436,2025-07-01,Premium
31,24,M,artist,10003,2024-06-11,Gold
32,28,F,student,78741,2025-09-05,Premium
33,23,M,student,27510,2022-04-27,Gold
34,38,F,administrator,42141,2024-04-26,Premium
35,20,F,homemaker,42459,2024-11-15,Silver
36,19,F,student,93117,2024-01-02,Silver
37,23,M,student,55105,2023-11-14,Silver
38,28,F,other,54467,2023-04-24,Standard
39,41,M,entertainment,01040,2025-06-04,Gold
40,38,M,scientist,27514,2026-03-07,Silver
41,33,M,engineer,80525,2021-10-28,Premium
42,30,M,administrator,17870,2022-12-09,Standard
43,29,F,librarian,20854,2022-03-22,Premium
44,26,M,technician,46260,2025-10-28,Standard
45,29,M,programmer,50233,2026-02-03,Premium
46,27,F,marketing,46538,2022-05-27,Silver
47,53,M,marketing,07102,2023-10-18,Silver
48,45,M,administrator,12550,2024-09-12,Premium
49,23,F,student,76111,2026-05-16,Premium
50,21,M,writer,52245,2021-09-23,Gold
51,28,M,educator,16509,2022-02-21,Silver
52,18,F,student,55105,2025-05-12,Silver
53,26,M,programmer,55414,2022-05-22,Premium
54,22,M,executive,66315,2026-01-05,Standard
55,37,M,programmer,01331,2021-12-22,Silver
56,25,M,librarian,46260,2026-05-19,Silver
57,16,M,none,84010,2024-08-21,Silver
58,27,M,programmer,52246,2026-06-21,Standard
59,49,M,educator,08403,2025-02-22,Standard
60,50,M,healthcare,06472,2026-04-19,Premium
61,36,M,engineer,30040,2024-02-12,Standard
62,27,F,administrator,97214,2024-12-22,Silver
63,31,M,marketing,75240,2022-01-09,Premium
64,32,M,educator,43202,2025-07-31,Standard
65,51,F,educator,48118,2024-07-03,Silver
66,23,M,student,80521,2026-04-05,Standard
